"Name","Num","Mmb","Hv","<Hv>","h:m:s","d:m:s","radD","radR"
"86","Scl","0086",0.993,134,0,"01 : 01 : 34.59","-33 : 44 : 37.7",-0.770686492244179,0.268678166713572
"87","Scl","0087",0.997,112,0,"01 : 01 : 49.84","-33 : 44 : 12.2",-0.768832079913935,0.26978717800911
"88","Scl","0088",0,-62,0,"01 : 01 : 30.68","-33 : 46 : 32.0",-0.778998622806803,0.268393823489601
"89","Scl","0089",0.997,114,0,"01 : 01 : 25.36","-33 : 46 : 09.5",-0.777362376633058,0.268006942172076
"90","Scl","0090",0.998,111,0,"01 : 01 : 29.62","-33 : 45 : 22.5",-0.773944440181236,0.268316738114305
"91","Scl","0091",1,103,0,"01 : 01 : 32.93","-33 : 43 : 39.8",-0.766475885423743,0.268557448106976
"92","Scl","0092",0.998,107,0,"01 : 01 : 32.17","-33 : 43 : 22.7",-0.765232338331697,0.268502179347329
"93","Scl","0093",0.998,109,0,"01 : 01 : 29.44","-33 : 43 : 16.8",-0.764803278223915,0.268303648144915
"94","Scl","0094",0,38.3,2.5,"01 : 00 : 58.32","-33 : 39 : 34.8",-0.748658982642968,0.266040537881496
"95","Scl","0095",1,109.1,0.4,"01 : 01 : 15.09","-33 : 42 : 41.8",-0.76225800639809,0.267260086696327
"96","Scl","0096",1,113.4,0.4,"01 : 00 : 59.26","-33 : 49 : 09.3",-0.790437801612582,0.266108896610532
"97","Scl","0097",0.997,110.8,0.4,"01 : 01 : 13.68","-33 : 45 : 41.1",-0.775297070351531,0.267157548602772
"98","Scl","0098",1,105.3,0.9,"01 : 00 : 52.81","-33 : 37 : 29.0",-0.739510548480431,0.265639839374059
"99","Scl","0099",1,123,0,"01 : 00 : 48.54","-33 : 40 : 52.7",-0.754324030506733,0.265329316211308
"100","Scl","0100",1,106.9,3,"01 : 00 : 46.21","-33 : 42 : 34.0",-0.761690774391192,0.26515987382976
"101","Scl","0101",1,101.2,0.9,"01 : 00 : 48.31","-33 : 47 : 00.9",-0.781100290114412,0.26531259013931
"102","Scl","0102",1,107,2.9,"01 : 00 : 54.04","-33 : 46 : 31.0",-0.778925900754636,0.265729287498223
"103","Scl","0103",1,111.2,3.7,"01 : 01 : 03.70","-33 : 37 : 58.9",-0.741684937840207,0.266431782522151
"104","Scl","0104",1,100.5,1,"01 : 01 : 02.01","-33 : 39 : 28.8",-0.748222650329969,0.26630888225399
"105","Scl","0105",0.999,113.1,0.9,"01 : 01 : 04.49","-33 : 41 : 16.8",-0.756076631963944,0.266489232943363
"106","Scl","0106",1,110,2.1,"01 : 01 : 10.27","-33 : 38 : 37.8",-0.744513825669481,0.266909566404885
"107","Scl","0107",1,115.9,0.8,"01 : 01 : 12.53","-33 : 41 : 03.8",-0.75513124528578,0.267073918242781
"108","Scl","0108",0.999,98,0,"01 : 01 : 19.27","-33 : 45 : 41.6",-0.775333431377614,0.267564064874382
"109","Scl","0109",1,100,0,"01 : 01 : 15.39","-33 : 45 : 05.2",-0.772686348678756,0.267281903311977
"110","Scl","0110",1,113,0,"01 : 01 : 39.59","-33 : 42 : 15.8",-0.760367233041763,0.269041776974404
"111","Scl","0111",1,106,0,"01 : 01 : 30.18","-33 : 46 : 16.9",-0.777900519819089,0.268357462463518
"112","Scl","0112",1,124,0,"00 : 59 : 00.31","-33 : 37 : 25.9",-0.739285110118715,0.257458608505335
"113","Scl","0113",0.998,92,0,"00 : 59 : 11.69","-33 : 38 : 29.5",-0.7439102326365,0.258286185458989
"114","Scl","0114",0.999,96,0.9,"00 : 59 : 04.10","-33 : 38 : 39.2",-0.744615636542514,0.257734225083046
"115","Scl","0115",0.016,92,0,"00 : 59 : 05.38","-33 : 38 : 54.1",-0.745699195119794,0.257827309309819
"116","Scl","0116",1,107,0,"00 : 59 : 09.48","-33 : 39 : 15.6",-0.747262719241372,0.258125469723701
"117","Scl","0117",1,120,0,"00 : 59 : 20.03","-33 : 33 : 05.6",-0.720355559939793,0.258892687374057
"118","Scl","0118",0,118,0,"00 : 59 : 22.97","-33 : 33 : 29.4",-0.722086344781354,0.259106490207427
"119","Scl","0119",1,110,0,"00 : 59 : 18.63","-33 : 36 : 54.6",-0.737008909885906,0.258790876501024
